name,description,year,director
The Time Machine,A man travels through time and witnesses the evolution of humanity.,1895,H.G. Wells
Ender's Game,A young boy is trained to become a military leader in a war against an alien race.,1985,Orson Scott Card
Brave New World,A dystopian society where people are genetically engineered and conditioned to conform to a strict social hierarchy.,1932,Aldous Huxley
The Hitchhiker's Guide to the Galaxy,A comedic science fiction series following the misadventures of an unwitting human and his alien friend.,1979,Douglas Adams
Dune,A desert planet is the site of political intrigue and power struggles.,1965,Frank Herbert
Foundation,A mathematician develops a science to predict the future of humanity and works to save civilization from collapse.,1951,Isaac Asimov
Snow Crash,A futuristic world where the internet has evolved into a virtual reality metaverse.,1992,Neal Stephenson
Neuromancer,A hacker is hired to pull off a near-impossible hack and gets pulled into a web of intrigue.,1984,William Gibson
The War of the Worlds,A Martian invasion of Earth throws humanity into chaos.,1898,H.G. Wells
The Hunger Games,A dystopian society where teenagers are forced to fight to the death in a televised spectacle.,2008,Suzanne Collins
The Andromeda Strain,A deadly virus from outer space threatens to wipe out humanity.,1969,Michael Crichton
The Left Hand of Darkness,A human ambassador is sent to a planet where the inhabitants are genderless and can change gender at will.,1969,Ursula K. Le Guin
The Three-Body Problem,Humans encounter an alien civilization that lives in a dying system.,2008,Liu Cixin
